TWA\TWS,0,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,35,40,60,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0.32,0.43,0.5,0.36,0.37,0.34,0.42,0.44,0.64,0.67,0.68,0.69,0.71,0.73,0.78,0.81,0.78,0.68,0.55,0.8,0.81,0.72,0.71,0.56,0.55,0.61,0.63,0.66,0.67,0.53,0.33
16,0,1.32,1.76,2.09,1.7,1.77,1.6,1.64,1.58,2.23,2.33,2.39,2.43,2.49,2.55,2.73,2.82,2.74,2.43,2,2.79,2.84,2.56,2.52,2.04,2.01,2.19,2.27,2.36,2.4,1.41,1.18
24,0,2.22,2.97,3.52,3.59,3.72,3.4,3.59,3.57,4.36,4.55,4.66,4.74,4.86,4.98,5.29,5.44,5.34,4.84,4.08,5.45,5.55,5.09,5.01,4.18,4.11,4.44,4.59,4.78,4.81,2.99,2.36
32,0,3.08,4.11,4.88,5.38,5.59,5.09,5.43,5.56,6.56,6.86,7.01,7.14,7.32,7.5,7.88,8.03,8.04,7.5,6.54,8.2,8.35,7.9,7.78,6.75,6.64,7.09,7.33,7.57,7.51,4.86,3.69
40,0,4.35,5.57,6.45,6.99,7.27,6.62,7.13,7.52,8.27,8.64,8.85,9,9.23,9.46,9.68,9.97,10.14,9.91,9.14,10.33,10.53,10.44,10.29,9.5,9.35,9.82,10.15,10.37,10.07,6.86,4.94
41,0,4.5,5.73,6.62,7.14,7.39,6.87,7.31,7.75,8.41,8.79,8.99,9.16,9.39,9.61,9.87,10.17,10.3,10.17,9.46,10.51,10.71,10.71,10.55,9.83,9.68,10.15,10.48,10.7,10.34,7.2,5.08
44,0,4.97,6.19,6.97,7.4,7.74,7.62,8.05,8.35,8.9,9.19,9.37,9.54,9.8,10.03,10.29,10.65,10.75,10.81,10.37,10.97,11.17,11.39,11.21,10.84,10.67,11.07,11.44,11.61,11.08,7.98,5.44
45,0,5.11,6.36,7.07,7.5,7.87,7.88,8.29,8.6,9.07,9.29,9.52,9.69,9.91,10.19,10.45,10.76,10.87,10.95,10.66,11.14,11.34,11.54,11.41,11.16,10.98,11.36,11.73,11.89,11.26,8.19,5.53
46,0,5.26,6.47,7.17,7.59,8,8.13,8.52,8.85,9.22,9.4,9.63,9.81,10.03,10.36,10.64,10.94,11,11.11,10.94,11.33,11.52,11.71,11.58,11.48,11.29,11.63,12.02,12.15,11.45,8.36,5.61
47,0,5.39,6.55,7.25,7.66,8.15,8.37,8.75,9.08,9.37,9.56,9.75,9.91,10.15,10.5,10.75,11.05,11.12,11.26,11.21,11.48,11.67,11.87,11.77,11.78,11.59,11.9,12.28,12.38,11.55,8.51,5.68
48,0,5.53,6.6,7.33,7.74,8.29,8.61,8.97,9.3,9.52,9.67,9.86,10.03,10.25,10.63,10.86,11.17,11.25,11.4,11.47,11.62,11.82,12.01,11.98,12.08,11.88,12.26,12.54,12.57,11.66,8.67,5.73
49,0,5.66,6.65,7.41,7.82,8.46,8.85,9.18,9.52,9.69,9.83,9.96,10.14,10.36,10.76,10.98,11.28,11.37,11.52,11.71,11.77,11.97,12.15,12.2,12.36,12.16,12.49,12.74,12.7,11.76,8.86,5.77
50,0,5.77,6.71,7.49,7.9,8.63,9.08,9.34,9.73,9.86,9.96,10.09,10.24,10.47,10.88,11.09,11.39,11.49,11.65,11.86,11.92,12.12,12.29,12.37,12.5,12.3,12.69,12.96,12.82,11.94,9,5.86
51,0,5.85,6.76,7.59,7.96,8.75,9.31,9.51,9.86,9.98,10.1,10.21,10.38,10.58,11.01,11.24,11.55,11.59,11.83,12.06,12.08,12.28,12.46,12.56,12.75,12.5,12.87,13.22,12.96,12.07,9.11,5.92
53,0,6,6.87,7.73,8.12,8.97,9.5,9.68,10.02,10.18,10.31,10.45,10.62,10.8,11.26,11.45,11.88,11.86,12.07,12.26,12.39,12.58,12.74,12.88,13.04,12.85,13.19,13.51,13.25,12.26,9.27,6.03
54,0,6.09,6.91,7.82,8.19,9.08,9.57,9.76,10.08,10.27,10.41,10.57,10.74,10.9,11.4,11.57,11.99,12.01,12.21,12.42,12.56,12.75,12.9,13.06,13.23,13.05,13.38,13.72,13.45,12.37,9.41,6.1
55,0,6.16,6.96,7.89,8.26,9.18,9.64,9.83,10.18,10.39,10.51,10.68,10.84,11.03,11.53,11.71,12.14,12.15,12.37,12.58,12.74,12.93,13.08,13.26,13.43,13.26,13.58,13.93,13.59,12.54,9.56,6.16
60,0,6.39,7.21,8.19,8.63,9.5,10,10.24,10.66,10.88,11.07,11.31,11.53,11.82,12.3,12.6,12.99,13.18,13.44,13.67,13.9,14.12,14.31,14.51,14.72,14.68,14.98,15.25,14.8,13.62,10.3,6.57
