TWA\TWS,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,35,40,50,60,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1.84,3.59,5.04,6.01,6.11,6.79,7.08,7.18,7.28,7.35,7.45,7.55,7.64,7.64,7.74,7.74,7.74,5.63,0.09,0
35,0,2.24,4.46,6.21,7.37,7.47,8.44,8.63,8.83,8.92,9.08,9.18,9.36,9.46,9.46,9.55,9.65,9.65,7.64,1.41,0
40,0,2.72,5.43,7.57,8.89,9.22,10.28,10.57,10.77,10.96,11.09,11.27,11.37,11.47,11.56,11.66,11.76,11.47,9,2.61,0.46
45,0,3.01,6.01,8.24,9.43,9.7,10.67,11.06,11.35,11.64,11.66,11.84,11.94,12.13,12.23,12.37,12.51,12.51,9.9,3.84,0.83
50,0,3.2,6.5,8.73,9.73,10.09,11.16,11.54,11.83,12.13,12.23,12.43,12.61,12.8,12.9,13.1,13.47,13.47,10.65,5.19,1.43
55,0,3.4,6.98,9.23,10.05,10.48,11.54,11.93,12.32,12.61,12.71,13,13.28,13.43,13.67,13.95,14.42,14.42,11.43,6.53,2.29
60,0,3.66,7.34,9.8,10.3,10.8,11.88,12.37,12.8,13,13.18,13.58,13.91,14.16,14.55,14.84,15.42,15.38,12.31,7.87,3.11
65,0,3.86,7.62,10.1,10.69,11.29,12.38,12.8,13.37,13.7,13.95,14.24,14.65,15,15.42,15.76,16.72,16.41,13.23,8.82,3.63
70,0,4.06,7.9,10.3,11.1,11.58,12.87,13.27,13.86,14.5,14.91,15.04,15.48,15.86,16.3,16.78,18.14,17.32,13.95,9.85,4.12
75,0,4.16,8.08,10.49,11.5,11.88,13.07,13.73,14.26,14.95,15.53,15.82,16.2,16.63,17.17,17.67,19.11,18.27,14.55,10.71,4.57
80,0,4.26,8.22,10.59,11.88,12.23,13.27,14.06,14.75,15.44,16.14,16.79,17.28,17.56,18.04,18.62,20.07,19.06,15.13,11.41,4.96
85,0,4.26,8.22,10.69,12.08,12.57,13.56,14.36,15.15,16.04,16.91,17.63,18.36,18.64,19.01,19.49,20.83,19.88,15.69,12.08,5.27
90,0,4.26,8.22,10.69,12.18,12.97,13.86,14.75,15.54,16.63,17.61,18.48,19.3,19.6,19.79,20.18,21.53,20.55,16.13,12.77,5.52
95,0,4.16,8.09,10.59,12.1,13.17,14.06,15.05,16.14,17.23,18.3,19.07,19.9,20.42,20.5,20.47,21.92,21.14,16.51,13.4,5.71
100,0,4,7.92,10.42,12.06,13.27,14.16,15.25,16.53,17.72,18.89,19.67,20.4,20.81,21.1,21,22.21,21.71,17.02,14.02,5.91
105,0,3.85,7.69,10.3,12,13.2,14.26,15.35,16.73,18.09,19.19,19.76,20.5,20.91,21.4,21.8,22.55,22.38,17.57,14.51,6.05
110,0,3.7,7.43,10.2,12,13.15,14.26,15.44,17.03,18.24,19.49,19.86,20.6,21.12,21.8,22.3,23.09,23.03,18.22,14.93,6.28
115,0,3.63,7.26,10.1,11.88,13.13,14.2,15.54,17.03,18.22,19.39,19.96,20.8,21.4,22.2,22.84,24.1,23.79,18.82,15.32,6.51
120,0,3.49,6.99,9.87,11.7,13.07,14.16,15.58,17.03,18.12,19.29,20.16,21,21.7,22.6,23.43,25,24.46,19.34,15.86,6.69
125,0,3.37,6.65,9.41,11.3,12.81,14.05,15.64,17,18.12,19.29,20.26,21.13,22.1,22.96,23.83,25.86,25.15,19.88,16.43,6.91
130,0,3.2,6.28,8.92,10.86,12.32,13.77,15.55,16.9,18,19.3,20.36,21.33,22.39,23.26,24.22,26.56,26.25,20.49,17.06,7.12
135,0,2.95,5.78,8.34,10.28,11.79,13.12,14.74,16.37,17.4,19.08,20.28,21.54,22.5,23.5,24.52,27.41,27.34,21.09,17.68,7.31
140,0,2.72,5.34,7.76,9.7,11.23,12.51,13.97,15.91,16.97,18.92,19.97,21.34,22.1,23.38,24.64,28,28.25,21.6,18.08,7.48
145,0,2.42,4.85,6.98,8.92,10.53,11.74,13,14.84,16.01,17.77,19.56,21.05,22.26,23.77,24.79,27.8,28.23,21.77,18.02,7.53
150,0,2.15,4.27,6.31,8.24,9.8,11.06,12.32,13.77,15.13,16.82,18.73,20.73,22.36,23.77,25.07,27.5,28.03,21.6,17.88,7.45
155,0,1.94,3.83,5.63,7.47,9.02,10.38,11.54,12.8,14.07,15.38,17.38,19.4,21.15,22.53,23.96,26.95,27.43,21.32,17.6,7.36
160,0,1.76,3.49,5.12,6.79,8.34,9.7,10.86,12.03,13.19,14.16,16.05,18.04,19.69,21.19,22.55,26.46,26.46,20.93,17.32,7.23
170,0,1.45,2.97,4.28,5.63,6.98,8.24,9.56,10.77,11.74,12.19,13.87,15.42,16.88,18.88,19.98,24.55,24.25,18.5,16.09,6.69
180,0,1.23,2.54,3.49,4.75,5.82,6.98,8.44,9.7,10.38,10.48,12.13,13.1,14.55,16.78,17.46,22.07,21.5,16.13,14.8,6.16
