TWA\TWS,0,4,8,12,16,20,25,30,35,40,70
0,0,0,0,0,0,0,0,0,0,0,0
30,0,1.03,2.47,3.49,3.76,3.84,3.59,3.22,3.22,1.69,0
35,0,1.28,3.06,4.31,4.64,4.73,4.42,3.97,3.97,2.16,0.17
40,0,1.56,3.73,5.26,5.67,5.79,5.4,4.85,4.85,2.75,0.44
45,0,1.92,4.53,6.07,6.53,6.61,6.3,5.72,5.72,3.34,0.71
50,0,2.29,5.34,6.5,6.99,7.17,7.07,6.53,6.53,3.75,0.91
60,0,2.8,5.77,6.89,7.61,8.03,8.47,8.18,8.18,4.87,1.28
70,0,2.95,5.81,7.12,8.16,8.59,9.71,9.56,9.56,5.69,1.54
80,0,3.02,5.93,7.439,9.131,9.828,11.19,11.326,11.326,6.57,1.75
90,0,3.01,6.12,7.772,9.786,10.962,12.095,12.459,12.459,7.25,2.01
100,0,3.01,6.4,8.114,10.525,11.918,12.938,13.541,13.541,7.88,2.29
110,0,2.98,6.48,8.235,11.253,12.74,13.811,14.3,14.3,8.38,2.47
120,0,2.84,6.41,8.155,11.014,13.634,14.643,15.215,15.298,8.97,2.7
130,0,2.35,6.01,7.983,10.712,13.468,15.257,16.38,16.474,9.66,2.96
140,0,1.65,5.1,7.439,9.953,12.303,15.215,16.422,16.422,9.68,2.95
150,0,0.98,4.09,6.481,9.038,11.201,14.04,15.236,15.236,8.99,2.74
160,0,0.46,2.39,4.304,7.332,9.152,12.002,13.198,13.198,7.7,2.18
170,0,0.12,0.64,1.29,4.15,6.14,7.87,9.1,8.73,5.64,1.51
180,0,0.08,0.45,1.07,1.93,3.45,4.85,5.82,5.82,4.05,0.92
