TWA\TWS,0,4,8,12,16,20,25,30,35,40,70
0,0,0,0,0,0,0,0,0,0,0,0
30,0,1.03,2.47,3.49,3.76,3.84,3.59,3.22,3.22,1.69,0
35,0,1.28,3.06,4.31,4.64,4.73,4.42,3.97,3.97,2.16,0.17
40,0,1.56,3.73,5.26,5.67,5.79,5.4,4.85,4.85,2.75,0.44
45,0,1.92,4.53,6.07,6.53,6.61,6.3,5.72,5.72,3.34,0.71
50,0,2.29,5.34,6.5,6.99,7.17,7.07,6.53,6.53,3.75,0.91
60,0,2.8,5.88,7,7.8,8.03,8.47,8.18,8.18,4.87,1.28
70,0,3.05,5.99,7.34,8.45,8.89,9.71,9.56,9.56,5.69,1.54
80,0,3.13,6.11,7.61,9.09,9.78,10.9,10.89,10.89,6.57,1.75
90,0,3.12,6.31,7.95,9.74,10.91,11.8,11.98,11.98,7.25,2.01
100,0,3.12,6.6,8.3,10.48,11.86,12.82,13.25,13.02,7.88,2.29
110,0,3.09,6.68,8.42,11.2,12.68,13.69,14.1,13.89,8.38,2.47
120,0,2.91,6.55,8.34,10.96,13.57,14.52,15.08,15.04,8.97,2.7
130,0,2.35,6.01,8.06,10.54,13.41,15.12,16.24,16.2,9.66,2.96
140,0,1.65,5.1,7.38,9.57,11.99,14.89,16.19,16.15,9.68,2.95
150,0,0.98,4.09,6.43,8.69,10.77,13.5,14.65,14.86,8.99,2.74
160,0,0.46,2.39,4.27,7.05,8.8,11.54,12.69,12.69,7.7,2.18
170,0,0.12,0.64,1.29,4.15,6.14,7.87,9.1,8.73,5.64,1.51
180,0,0.08,0.45,1.07,1.93,3.45,4.85,5.82,5.82,4.05,0.92
