TWA\TWS,0,6,8,10,12,16,18,20,25,30,40,50
0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,1.26,2.26,2.54,3.49,7.66,6.31,5.65,6.31,6.79,2.62,1.49
36,0,1.53,2.66,2.91,3.81,8.44,6.98,6.08,6.69,7.28,2.91,1.65
40,0,1.74,3.03,3.2,4.07,9.02,7.37,6.4,6.98,7.64,3.09,1.76
45,0,1.92,3.47,3.43,4.34,9.41,7.66,6.69,7.28,7.95,3.3,1.89
52,0,2.15,3.82,3.72,4.56,9.8,8,6.98,7.57,8.34,3.59,2.03
60,0,2.37,4.11,3.96,4.75,10.09,8.34,7.18,7.86,8.63,3.88,2.19
70,0,2.5,4.27,3.99,4.85,10.5,9,7.47,8.24,9.02,4.14,2.39
75,0,2.48,4.38,4.04,4.89,10.9,9.3,7.8,8.49,9.22,4.24,2.5
80,0,2.53,4.56,4.1,5,11.1,9.6,8.16,8.73,9.41,4.35,2.61
90,0,2.56,4.62,4.15,5.2,11.4,10.1,8.9,9.2,9.6,4.56,2.83
100,0,2.59,4.7,4.22,5.44,11.5,10.7,9.8,9.852,9.9,4.75,3
105,0,2.62,4.72,4.27,5.6,11.5,10.9,10.2,10.152,10.3,4.85,3.07
110,0,2.61,4.72,4.32,5.8,11.5,11.1,10.6,10.464,10.45,4.95,3.13
115,0,2.64,4.66,4.28,6,11.55,11.3,11,10.8,10.5,5.04,3.19
120,0,2.62,4.58,4.37,6.1,11.64,11.4,11.4,11.1,10.6,5.2,3.23
125,0,2.45,4.46,4.29,6.14,11.58,11.3,11.67,11.3,10.7,5.5,3.28
130,0,2.29,4.29,4.17,6.07,11.64,11.25,11.5,11.3,10.75,5.72,3.42
135,0,2.14,4.11,4.05,5.93,11.54,11.25,11.35,11.64,10.8,5.8,3.52
140,0,2.01,3.94,3.88,5.74,11.35,11.06,11.25,11.54,10.8,5.85,3.54
150,0,1.75,3.59,3.46,5.16,10.38,10.19,10.48,10.57,10.48,5.7,3.47
160,0,1.46,2.99,2.93,4.37,9.31,9.14,9.51,9.6,9.7,5.24,3.24
165,0,1.35,2.75,2.72,4.04,8.73,8.63,9.12,9.12,9.31,4.95,3.09
170,0,1.24,2.55,2.52,3.78,8.24,8.15,8.73,8.63,8.92,4.69,2.85
180,0,1.07,2.27,2.23,3.3,7.28,7.28,7.95,7.59,8.05,4.17,2.41
