TWA\TWS,0,2,4,8,10,12,16,18,20,24,28,32,36,40,50,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0.19,0.29,0.49,0.58,0.67,4.65,4.23,5.02,5.02,2.2,2.2,1.3,1,0.4,0
40,0,0.39,1.26,3.3,2.86,3.28,6.52,6.46,7.26,7.44,4.11,4.1,1.84,1.63,0.8,0
50,0,0.91,2.88,5.61,6.82,7.12,8.77,8.76,9.32,9.25,7.6,7.07,3.9,3,1.66,0
52,0,1.13,3.18,6.07,7.53,7.6,9.07,9,9.48,9.47,8.44,7.7,4.7,3.75,1.83,0
54,0,1.39,3.44,6.58,8.03,8.2,9.26,9.17,9.65,9.68,8.91,8.54,5.76,4.34,1.96,0
56,0,1.59,3.75,7.03,8.36,8.5,9.42,9.33,9.8,9.86,9.38,9.05,7.67,5.4,2.04,0
58,0,1.83,4.01,7.43,8.52,8.79,9.53,9.49,9.93,10.01,9.76,9.54,8.66,7.15,2.09,0
60,0,1.99,4.28,7.49,8.7,9.04,9.64,9.75,10.1,10.16,10.04,9.98,9.31,8.59,2.11,0
65,0,2.39,4.69,7.64,8.94,9.41,10,10.16,10.45,10.59,10.71,10.92,10.67,10.09,2.13,0
70,0,2.49,4.8,7.77,9.27,9.79,10.34,10.43,10.85,11.15,11.41,11.69,11.57,11.1,2.13,0
75,0,2.52,4.88,7.86,9.45,10.11,10.68,10.83,11.19,11.63,11.99,12.36,12.27,11.83,2.13,0
80,0,2.55,4.93,7.96,9.59,10.22,10.95,11.14,11.33,12.17,12.62,13.06,13.07,12.53,2.13,0
85,0,2.55,4.93,7.99,9.64,10.32,11.17,11.42,11.65,12.61,13.16,13.68,13.72,13.3,2.13,0
90,0,2.55,4.93,8.02,9.71,10.42,11.39,11.68,11.97,12.85,13.7,14.3,14.32,14.03,2.13,0
95,0,2.54,4.93,8.01,9.7,10.47,11.59,11.95,12.31,13.06,14.14,14.83,14.98,14.49,2.13,0
100,0,2.53,4.92,8,9.69,10.52,11.78,12.21,12.65,13.33,14.58,15.36,15.52,14.83,2.13,0
105,0,2.51,4.9,7.99,9.64,10.52,11.98,12.5,13.02,13.76,14.88,15.88,16.06,15.24,2.13,0
110,0,2.49,4.89,7.98,9.6,10.53,12.17,12.77,13.38,14.21,15.15,16.35,16.42,15.52,2.13,0
115,0,2.44,4.8,7.91,9.49,10.47,12.35,13,13.66,14.51,15.36,16.79,16.71,15.93,2.13,0
120,0,2.41,4.7,7.83,9.37,10.41,12.51,13.23,13.94,14.82,15.71,17.12,16.76,16.26,2.13,0
125,0,2.31,4.55,7.69,9.25,10.27,12.58,13.43,14.06,15.01,15.97,17.26,16.85,16.57,2.13,0
130,0,2.2,4.33,7.57,9.02,10.15,12.65,13.5,14.62,15.52,16.27,17.34,16.86,16.75,2.13,0
135,0,1.99,3.73,7.29,8.65,9.83,12.48,13.3,14.62,15.9,17.12,18.28,16.8,16.9,2.13,0
140,0,1.31,2.81,6.7,7.98,9.41,11.98,12.91,14.32,15.81,17.24,18.59,16.87,17,2.15,0
145,0,0.86,1.96,6.09,7.33,8.75,11.19,12.35,13.96,15.51,17.12,18.58,16.76,17.04,2.16,0
150,0,0.62,1.24,4.95,6.38,7.5,10.47,11.6,13.14,14.73,16.79,18.5,16.6,16.82,2.18,0
155,0,0.5,0.96,4.07,5.18,6.31,9.04,10.04,11.75,13.57,16.38,17.79,15.96,16.52,2.13,0
160,0,0.43,0.76,3.12,4.33,5.34,7.76,8.33,10,11.72,15.4,17.18,15.26,15.86,2.09,0
170,0,0.34,0.59,2.09,3.14,3.88,5.82,5.79,7.11,9.1,13.61,15.73,13.52,13.57,1.93,0
180,0,0.26,0.49,1.48,2.37,2.91,4.37,3.86,5.1,7,9.09,11.29,10.23,9.87,1.28,0
