TWA\TWS,0,2,4,8,10,12,16,18,20,24,28,32,36,40,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0.19,0.29,0.49,0.58,0.67,4.65,4.17,4.87,4.87,2.13,2.13,1.26,0.97,0.38
40,0,0.39,1.26,3.3,2.86,3.28,6.52,6.27,7.04,7.22,3.99,3.98,1.78,1.58,0.76
50,0,0.91,2.88,5.61,6.82,7.12,8.77,8.57,9.04,8.97,7.37,6.86,3.78,2.91,1.58
52,0,1.13,3.18,6.07,7.53,7.6,9.07,8.8,9.2,9.19,8.19,7.47,4.56,3.64,1.75
54,0,1.39,3.44,6.58,8.03,8.2,9.26,8.97,9.36,9.39,8.64,8.28,5.59,4.21,1.87
56,0,1.59,3.75,7.03,8.36,8.5,9.42,9.19,9.51,9.56,9.1,8.78,7.44,5.24,1.95
58,0,1.83,4.01,7.43,8.52,8.79,9.53,9.36,9.63,9.71,9.47,9.25,8.4,6.94,1.99
60,0,1.99,4.28,7.49,8.7,9.04,9.64,9.56,9.8,9.86,9.74,9.68,9.03,8.33,2.01
65,0,2.39,4.69,7.64,8.94,9.41,10,10.05,10.14,10.27,10.39,10.59,10.35,9.79,2.03
70,0,2.49,4.8,7.77,9.27,9.79,10.34,10.43,10.52,10.82,11.07,11.34,11.22,10.77,2.03
75,0,2.52,4.88,7.86,9.45,10.11,10.68,10.83,10.97,11.28,11.63,11.99,11.9,11.48,2.03
80,0,2.55,4.93,7.96,9.59,10.22,10.95,11.14,11.33,11.8,12.24,12.67,12.68,12.15,2.03
85,0,2.55,4.93,7.99,9.64,10.32,11.17,11.42,11.65,12.23,12.77,13.27,13.31,12.9,2.03
90,0,2.55,4.93,8.02,9.71,10.42,11.39,11.68,11.97,12.62,13.29,13.87,13.89,13.61,2.03
95,0,2.54,4.93,8.01,9.7,10.47,11.59,11.95,12.31,12.98,13.72,14.39,14.53,14.06,2.03
100,0,2.53,4.92,8,9.69,10.52,11.78,12.21,12.65,13.33,14.14,14.9,15.05,14.39,2.03
105,0,2.51,4.9,7.99,9.64,10.52,11.98,12.5,13.02,13.76,14.55,15.4,15.58,14.78,2.03
110,0,2.49,4.89,7.98,9.6,10.53,12.17,12.77,13.38,14.21,15.03,15.86,15.93,15.05,2.03
115,0,2.44,4.8,7.91,9.49,10.47,12.35,13,13.66,14.51,15.36,16.34,16.21,15.45,2.03
120,0,2.41,4.7,7.83,9.37,10.41,12.51,13.23,13.94,14.82,15.71,16.72,16.34,15.77,2.03
125,0,2.31,4.55,7.69,9.25,10.27,12.58,13.43,14.06,15.01,15.97,17.03,16.56,16.07,2.03
130,0,2.2,4.33,7.57,9.02,10.15,12.65,13.42,14.18,15.18,16.21,17.34,16.54,16.25,2.03
135,0,1.99,3.73,7.29,8.65,9.83,12.48,13.21,14.18,15.42,16.61,17.73,16.52,16.39,2.03
140,0,1.31,2.81,6.7,7.98,9.41,11.98,12.76,13.89,15.34,16.72,18.03,16.36,16.49,2.05
145,0,0.86,1.96,6.09,7.33,8.75,11.19,12.17,13.54,15.04,16.61,18.02,16.26,16.53,2.06
150,0,0.62,1.24,4.95,6.38,7.5,10.47,11.42,12.75,14.29,16.29,17.95,16.1,16.32,2.08
155,0,0.5,0.96,4.07,5.18,6.31,9.04,10.01,11.4,13.16,15.89,17.26,15.48,16.02,2.03
160,0,0.43,0.76,3.12,4.33,5.34,7.76,8.24,9.7,11.37,14.94,16.66,14.8,15.38,1.99
170,0,0.34,0.59,2.09,3.14,3.88,5.82,5.67,6.9,8.83,13.2,15.26,13.11,13.16,1.8
180,0,0.26,0.49,1.48,2.37,2.91,4.37,3.79,4.95,6.79,8.82,10.95,9.92,9.57,1.16
