TWA\TWS,0,2,4,8,10,12,16,18,20,24,28,32,36,40,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0.19,0.29,0.49,0.58,0.67,4.65,4.17,4.87,4.87,2.13,2.13,1.26,0.97,0.38
40,0,0.39,1.26,3.3,2.86,3.28,6.52,6.27,7.04,7.22,3.99,3.98,1.78,1.58,0.76
50,0,0.91,2.88,5.61,6.82,7.12,8.77,8.57,9.04,8.97,7.37,6.86,3.78,2.91,1.58
52,0,1.13,3.18,6.07,7.53,7.6,9.07,8.8,9.2,9.19,8.19,7.47,4.56,3.64,1.75
54,0,1.39,3.44,6.58,8.03,8.2,9.26,8.97,9.36,9.39,8.64,8.28,5.59,4.21,1.87
56,0,1.59,3.75,7.03,8.36,8.5,9.42,9.19,9.51,9.56,9.1,8.78,7.44,5.24,1.95
58,0,1.83,4.01,7.43,8.52,8.79,9.53,9.36,9.63,9.71,9.47,9.25,8.4,6.94,1.99
60,0,1.99,4.28,7.49,8.7,9.04,9.64,9.56,9.8,9.86,9.74,9.68,9.03,8.33,2.01
65,0,2.39,4.69,7.64,8.94,9.41,10,10.05,10.14,10.27,10.39,10.59,10.35,9.79,2.03
70,0,2.49,4.8,7.77,9.27,9.79,10.34,10.43,10.52,10.82,11.07,11.34,11.22,10.77,2.03
75,0,2.52,4.88,7.86,9.45,10.15,10.894,11.047,11.189,11.506,11.863,12.23,12.09,11.48,2.03
80,0,2.55,4.93,7.96,9.59,10.302,11.388,11.586,11.783,12.272,12.73,13.177,13.086,12.15,2.03
85,0,2.55,4.93,7.99,9.64,10.403,11.617,11.877,12.116,12.719,13.281,13.801,13.736,12.9,2.03
90,0,2.55,4.93,8.02,9.71,10.503,11.846,12.147,12.449,13.125,13.822,14.425,14.334,13.61,2.03
95,0,2.54,4.93,8.01,9.7,10.554,12.054,12.428,12.802,13.499,14.269,14.966,14.995,14.06,2.03
100,0,2.53,4.92,8,9.69,10.604,12.251,12.698,13.156,13.863,14.706,15.496,15.532,14.39,2.03
105,0,2.51,4.9,7.99,9.64,10.604,12.459,13,13.541,14.31,15.132,16.016,16.079,14.78,2.03
110,0,2.49,4.89,7.98,9.6,10.614,12.657,13.281,13.915,14.778,15.631,16.494,16.44,15.05,2.03
115,0,2.44,4.8,7.91,9.49,10.554,12.844,13.52,14.206,15.09,15.974,16.994,16.729,15.45,2.03
120,0,2.41,4.7,7.83,9.37,10.493,13.01,13.759,14.498,15.413,16.338,17.389,16.863,15.77,2.03
125,0,2.31,4.55,7.69,9.25,10.352,13.083,13.967,14.622,15.61,16.609,17.711,17.09,16.07,2.03
130,0,2.2,4.33,7.57,9.02,10.231,13.156,13.957,14.747,15.787,16.858,18.034,17.069,16.25,2.03
135,0,1.99,3.73,7.29,8.65,9.909,12.979,13.738,14.747,16.037,17.274,18.439,17.049,16.39,2.03
140,0,1.31,2.81,6.7,7.98,9.485,12.459,13.27,14.446,15.954,17.389,18.751,16.884,16.49,2.05
145,0,0.86,1.96,6.09,7.33,8.82,11.638,12.657,14.082,15.642,17.274,18.741,16.78,16.53,2.06
150,0,0.62,1.24,4.95,6.38,7.56,10.889,11.877,13.26,14.862,16.942,18.668,16.615,16.32,2.08
155,0,0.5,0.96,4.07,5.18,6.36,9.402,10.41,11.856,13.686,16.526,17.95,15.975,16.02,2.03
160,0,0.43,0.76,3.12,4.33,5.383,8.07,8.57,10.088,11.825,15.538,17.326,15.274,15.38,1.99
170,0,0.34,0.59,2.09,3.14,3.88,5.82,5.67,6.9,8.83,13.2,15.26,13.11,13.16,1.8
180,0,0.26,0.49,1.48,2.37,2.91,4.37,3.79,4.95,6.79,8.82,10.95,9.92,9.57,1.16
