TWA\TWS,0,6,10,14,18,20,24,30,35,40,55
0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0
60,0,2.76,4.01,4.2,4.2,4.47,3.11,2.31,1.47,1.22,1.19
65,0,3.34,4.92,5.21,5.37,5.63,4.24,3.45,2.56,2.36,2.3
70,0,3.44,5.29,5.47,5.785,6.03,5.12,4.98,3.64,3.35,3.27
80,0,3.43,5.76,5.93,6.31,6.52,6.32,6.22,4.93,4.24,4.13
90,0,3.37,6.01,6.2,6.7,6.99,6.91,6.83,5.42,4.73,4.61
100,0,3.27,6.21,6.4,6.915,7.32,7.21,7.15,5.71,4.93,4.8
110,0,3.17,6.13,6.5,7.03,7.29,7.4,7.19,6.01,5.12,4.99
120,0,3.01,5.9,6.37,6.99,7.29,7.535,7.21,6.11,5.22,5.09
130,0,2.8,5.53,6.33,6.86,7.36,7.5,7.02,6.29,5.35,5.22
140,0,2.62,5.06,6.21,6.68,7.33,7.68,7.39,6.47,5.52,5.38
150,0,2.45,4.66,6.11,6.52,7.29,7.78,7.49,6.5,5.79,5.65
160,0,2.28,4.07,5.84,6.45,7.19,7.68,7.49,6.5,5.81,5.67
170,0,2.02,3.59,5.36,5.93,6.6,7.26,7.22,6.28,5.57,5.54
180,0,1.73,3.18,4.9,5.45,6.1,6.86,6.94,6.045,5.325,5.205
