TWA\TWS,0,6,10,14,18,20,24,30,35,40,55
0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0
60,0,2.768,4.022,4.213,4.213,4.353,3.029,2.247,1.434,1.184,1.133
65,0,3.35,4.935,5.226,5.386,5.476,4.122,3.36,2.487,2.287,2.187
70,0,3.45,5.306,5.486,5.737,5.868,4.985,4.844,3.541,3.25,3.099
80,0,3.44,5.777,5.948,6.229,6.339,6.148,6.048,4.794,4.112,3.922
90,0,3.38,6.028,6.219,6.62,6.8,6.72,6.65,5.276,4.584,4.373
100,0,3.28,6.229,6.419,6.891,7.121,7.011,6.961,5.557,4.784,4.554
110,0,3.18,6.148,6.519,7.051,7.312,7.202,6.991,5.847,4.965,4.734
120,0,3.019,5.918,6.389,7.011,7.312,7.392,7.011,5.948,5.065,4.824
130,0,2.808,5.547,6.349,6.881,7.202,7.392,7.041,6.118,5.186,4.955
140,0,2.628,5.075,6.229,6.7,7.131,7.472,7.192,6.299,5.356,5.105
150,0,2.457,4.674,6.128,6.54,7.091,7.573,7.292,6.329,5.617,5.356
160,0,2.287,4.082,5.858,6.389,6.991,7.472,7.292,6.329,5.637,5.376
170,0,2.026,3.601,5.376,5.817,6.419,7.061,7.021,6.108,5.406,5.226
180,0,1.735,3.19,4.915,5.366,5.938,6.67,6.75,5.878,5.165,4.674
